id,name,section,group,country,image
232, BOHEMIAN WIRE-HAIRED POINTING GRIFFON, Pointing Dogs, Continental Pointing Dogs, CZECH REPUBLIC, /bohemianwirehairedpointinggriffon.jpg
233, CESKY TERRIER, Terriers, Small sized Terriers, CZECH REPUBLIC,/246g03.jpg
234, ATLAS MOUNTAIN DOG (AIDI), Pinscher and Schnauzer, Molossian type, MOROCCO, /atlasmountaindog.jpg
235, PHARAOH HOUND, Spitz and primitive types, Primitive type, MALTA, /pharaohhound.jpg
236, MAJORCA MASTIFF, Pinscher and Schnauzer, Molossian type, SPAIN, /majorcamastiff.jpg
237, HAVANESE, Companion and Toy Dogs, Bichons and related breeds, CUBA, /havanese.jpg
238, POLISH LOWLAND SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, POLAND,/251g01.jpg
239, TATRA SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, POLAND,/252g01.jpg
240, PUG, Companion and Toy Dogs, Small Molossian type Dogs, CHINA,/253g09.jpg
241, ALPINE DACHSBRACKE, Scent hounds and related breeds, Leash (scent) Hounds, AUSTRIA, /alpinedachsbracke.jpg
242, AKITA, Spitz and primitive types, Asian Spitz and related breeds, JAPAN,/255g05.jpg
243, SHIBA, Spitz and primitive types, Asian Spitz and related breeds, JAPAN,/257g05.jpg
244, JAPANESE TERRIER, Terriers, Small sized Terriers, JAPAN,/259g03.jpg
